DATE,CAPCPI_PCH
1970-01-01,6.18050
1971-01-01,4.91440
1972-01-01,8.50451
1973-01-01,8.33333
1974-01-01,9.92977
1975-01-01,8.75056
1976-01-01,8.94809
1977-01-01,8.85266
1978-01-01,11.28902
1979-01-01,11.35493
1980-01-01,11.03365
1981-01-01,10.15488
1982-01-01,4.82596
1983-01-01,5.72029
1984-01-01,9.00425
1985-01-01,5.66216
1986-01-01,4.72164
1987-01-01,5.08301
1988-01-01,6.07618
1989-01-01,4.87631
1990-01-01,4.49394
1991-01-01,1.73144
1992-01-01,3.75623
1993-01-01,1.47720
1994-01-01,2.46817
1995-01-01,4.44426
1996-01-01,5.20931
1997-01-01,4.85875
1998-01-01,7.09948
1999-01-01,5.29210
2000-01-01,8.89034
2001-01-01,2.03513
2002-01-01,0.50231
2003-01-01,3.51026
2004-01-01,5.51744
2005-01-01,5.11119
2006-01-01,7.15140
2007-01-01,3.66138
2008-01-01,0.59823
2009-01-01,-4.20597
2010-01-01,3.78651
2011-01-01,5.82317
2012-01-01,5.72146
2013-01-01,1.00985
2014-01-01,6.21350
2015-01-01,6.63854
2016-01-01,3.97651
2017-01-01,4.31691
2018-01-01,5.24587
2019-01-01,4.68326
2020-01-01,7.09416
